Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775991625,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775991626,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775991627,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775991628,30,,Aggregated,0.000000,0.000000,2300,2400,2400,2400,2500,2500,2500,2500,2500,2500,2500,11,0,2300,2112.085918181699,51.596700001027784,2508.6566000009043,504.1818181818182
1775991629,30,,Aggregated,0.000000,0.000000,2300,2500,2500,2500,2500,2600,2600,2600,2600,2600,2600,29,0,2300,1749.3751724137085,42.717000000266125,2553.0722999992577,505.0344827586207
1775991630,30,,Aggregated,3.000000,0.000000,2200,2300,2500,2500,2500,2600,2700,2800,2800,2800,2800,53,0,2200,1468.920235849029,42.717000000266125,2759.9957000002178,504.52830188679246
1775991631,30,,Aggregated,3.000000,0.000000,360,2200,2400,2500,2500,2600,2700,2800,2800,2800,2800,70,0,360,1138.3709028571373,41.50450000088313,2759.9957000002178,503.5
1775991632,30,,Aggregated,7.200000,0.000000,260,530,2200,2300,2500,2600,2700,2800,2800,2800,2800,93,0,260,902.8546290322093,41.26219999852765,2759.9957000002178,503.9139784946237
1775991633,30,,Aggregated,10.500000,0.000000,260,360,2100,2200,2500,2500,2600,2700,2800,2800,2800,113,0,260,781.0760522123309,41.26219999852765,2759.9957000002178,504.43362831858406
1775991634,30,,Aggregated,11.142857,0.000000,220,350,530,2200,2500,2500,2600,2700,2800,2800,2800,128,0,220,702.8757617186727,39.46629999882134,2759.9957000002178,504.625
1775991635,30,,Aggregated,12.500000,0.000000,200,310,360,560,2500,2500,2600,2700,2800,2800,2800,153,0,200,613.6506084966599,39.46629999882134,2759.9957000002178,503.80392156862746
1775991636,30,,Aggregated,13.111111,0.000000,170,260,350,390,2400,2500,2600,2700,2800,2800,2800,174,0,160,550.3127954022403,39.46629999882134,2759.9957000002178,503.7241379310345
1775991637,30,,Aggregated,14.200000,0.000000,160,240,320,360,2300,2500,2600,2700,2800,2800,2800,194,0,160,504.37117577312915,39.143300000432646,2759.9957000002178,503.5979381443299
1775991638,30,,Aggregated,16.300000,0.000000,160,250,320,360,2300,2500,2600,2600,2800,2800,2800,215,0,160,476.8819995347829,39.143300000432646,2759.9957000002178,503.8186046511628
1775991639,30,,Aggregated,18.300000,0.000000,150,230,310,350,2200,2500,2600,2600,2800,2800,2800,237,0,150,441.38442447246416,39.143300000432646,2759.9957000002178,504.0084388185654
1775991640,30,,Aggregated,19.400000,0.000000,130,200,280,320,2200,2500,2500,2600,2800,2800,2800,258,0,130,411.80613294565507,39.143300000432646,2759.9957000002178,504.1744186046512
1775991641,30,,Aggregated,21.100000,0.000000,130,200,260,310,2100,2500,2500,2600,2800,2800,2800,282,0,130,388.2539067375069,39.143300000432646,2759.9957000002178,504.39716312056737
1775991642,30,,Aggregated,21.000000,0.000000,130,200,250,300,560,2500,2500,2600,2800,2800,2800,306,0,130,369.0598542483047,39.143300000432646,2759.9957000002178,504.47712418300654
1775991643,30,,Aggregated,20.700000,0.000000,140,200,240,280,460,2400,2500,2600,2800,2800,2800,327,0,140,354.5082587155475,39.143300000432646,2759.9957000002178,504.7033639143731
1775991644,30,,Aggregated,21.300000,0.000000,140,200,240,280,460,2400,2500,2600,2800,2800,2800,345,0,140,345.8606286956058,39.143300000432646,2759.9957000002178,504.6376811594203
1775991645,30,,Aggregated,21.000000,0.000000,140,200,240,280,390,2300,2500,2600,2800,2800,2800,368,0,140,333.6971013586514,39.143300000432646,2759.9957000002178,504.6657608695652
1775991646,30,,Aggregated,21.400000,0.000000,150,200,240,270,380,2300,2500,2600,2800,2800,2800,390,0,150,324.578709743559,39.143300000432646,2759.9957000002178,504.7230769230769
1775991647,30,,Aggregated,21.500000,0.000000,140,190,230,260,380,2300,2500,2600,2800,2800,2800,409,0,140,313.775230073317,39.143300000432646,2759.9957000002178,504.83374083129587
1775991648,30,,Aggregated,21.000000,0.000000,150,200,240,280,360,2300,2500,2600,2800,2800,2800,431,0,150,309.1005559164542,39.143300000432646,2759.9957000002178,504.76102088167056
1775991649,30,,Aggregated,21.600000,0.000000,150,200,250,290,360,2200,2500,2600,2800,2800,2800,452,0,150,307.9476840707805,39.143300000432646,2759.9957000002178,504.6659292035398
1775991650,30,,Aggregated,21.100000,0.000000,150,200,240,280,360,2200,2500,2600,2800,2800,2800,473,0,150,298.2811361522049,39.143300000432646,2759.9957000002178,504.985200845666
1775991651,30,,Aggregated,21.400000,0.000000,150,200,240,280,360,2200,2500,2600,2800,2800,2800,493,0,150,291.93564178498445,39.143300000432646,2759.9957000002178,504.7728194726166
1775991652,30,,Aggregated,21.400000,0.000000,150,200,240,270,360,2200,2500,2500,2800,2800,2800,508,0,150,287.74269330707864,39.143300000432646,2759.9957000002178,504.90748031496065
1775991653,30,,Aggregated,21.200000,0.000000,150,200,240,280,380,2200,2500,2500,2800,2800,2800,536,0,150,287.6462988805975,39.143300000432646,2759.9957000002178,504.86380597014926
