Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,389,0,100,163.37052005138364,3.0507999999827007,2193.286800000351,41.0,3.270893741547725,0.0,100,160,200,230,340,460,1000,2100,2200,2200,2200
POST,/predict,1814,0,190,252.97402331864868,28.7188000002061,2670.6594999996014,710.6312017640573,15.25295950428682,0.0,190,250,310,350,470,540,840,2200,2600,2700,2700
GET,/stats,715,0,43,93.64177790208181,2.31300000086776,2174.4249000003038,132.46853146853147,6.012054049374353,0.0,43,76,100,110,160,220,340,2100,2200,2200,2200
GET,/transactions [list],378,0,360,459.26391693121803,71.09900000068592,2229.548999999679,39525.4417989418,3.178400602326581,0.0,360,540,650,710,920,1000,1400,1800,2200,2200,2200
POST,/transactions [save],534,0,310,367.3042606741503,60.76009999924281,1502.4255999996967,50.0,4.49012148582644,0.0,310,430,520,560,720,840,910,980,1500,1500,1500
GET,/transactions/search,370,0,330,443.5334935135452,65.59700000070734,2615.3917999999976,2289.408108108108,3.1111328647112035,0.0,330,500,570,640,880,1000,1800,2200,2600,2600,2600
,Aggregated,4200,0,180,267.44035957143103,2.31300000086776,2670.6594999996014,4098.606428571428,35.31556224807312,0.0,180,270,350,400,560,790,1000,2100,2600,2700,2700
