Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,217,0,1000,1135.9485870968206,173.75510000056238,7104.345900001135,41.0,3.721150200484597,0.0,1000,1200,1300,1400,1600,1800,3400,6400,7100,7100,7100
POST,/predict,998,0,1000,1151.1764164328479,156.20850000050268,7490.837100000135,710.0200400801604,17.113861290707963,0.0,1000,1200,1400,1500,1600,1800,3300,3800,7500,7500,7500
GET,/stats,417,0,420,602.5637673861,21.398900000349386,6355.771499998809,132.3549160671463,7.150781721668557,0.0,420,500,570,630,810,2200,3800,4500,6400,6400,6400
GET,/transactions [list],194,0,2600,2667.565705670106,584.451300001092,7966.574399999445,39525.31443298969,3.3267425755484417,0.0,2600,3100,3300,3300,3600,4100,5800,7900,8000,8000,8000
POST,/transactions [save],277,0,2000,2018.5860862815089,458.19099999971513,3880.903199999011,50.0,4.750039656839785,0.0,2000,2300,2500,2700,2900,3200,3700,3800,3900,3900,3900
GET,/transactions/search,193,0,2700,2757.254606735695,645.4902999994374,8767.375600000378,2619.279792746114,3.3095944179425216,0.0,2700,3100,3200,3300,3500,4200,4700,6000,8800,8800,8800
,Aggregated,2296,0,1100,1417.8790199912762,21.398900000349386,8767.375600000378,3902.426393728223,39.372169863191864,0.0,1100,1500,1900,2200,3000,3300,3900,4600,7900,8800,8800
